Paragraph Number,Compound Score,Classification
1,0.0,Neutral
2,-0.9217,Strong Negative
3,-0.5267,Strong Negative
4,-0.128,Weak Negative
5,0.1027,Weak Positive
6,0.5859,Strong Positive
7,0.863,Strong Positive
8,0.1779,Weak Positive
9,0.1926,Weak Positive
10,0.431,Weak Positive
11,0.0,Neutral
12,0.4854,Weak Positive
13,0.9545,Strong Positive
14,0.2144,Weak Positive
15,0.212,Weak Positive
16,-0.3182,Weak Negative
17,0.0,Neutral
18,-0.8658,Strong Negative
19,-0.9022,Strong Negative
20,-0.4939,Weak Negative
21,0.4951,Weak Positive
22,0.5423,Strong Positive
23,-0.6249,Strong Negative
24,0.9309,Strong Positive
25,-0.9292,Strong Negative
