Paragraph Number,Compound Score,Classification
1,0.0,Neutral
2,0.5023,Strong Positive
3,0.5323,Strong Positive
4,0.8519,Strong Positive
5,0.4588,Weak Positive
6,0.34,Weak Positive
7,0.8271,Strong Positive
8,0.8974,Strong Positive
9,0.5362,Strong Positive
10,-0.5267,Strong Negative
11,0.765,Strong Positive
12,0.6792,Strong Positive
13,0.8516,Strong Positive
14,0.8553,Strong Positive
15,0.8625,Strong Positive
16,0.7841,Strong Positive
17,-0.0258,Neutral
18,0.9859,Strong Positive
19,0.9292,Strong Positive
20,-0.128,Weak Negative
21,0.9638,Strong Positive
22,0.0,Neutral
23,0.7873,Strong Positive
24,-0.5367,Strong Negative
25,0.4215,Weak Positive
26,0.8806,Strong Positive
27,0.3182,Weak Positive
28,0.875,Strong Positive
29,0.0516,Neutral
30,0.212,Weak Positive
31,0.765,Strong Positive
32,-0.34,Weak Negative
33,0.9089,Strong Positive
