Paragraph Number,Compound Score,Classification
1,0.0,Neutral
2,0.0,Neutral
3,0.6917,Strong Positive
4,-0.5859,Strong Negative
5,-0.9186,Strong Negative
6,-0.6249,Strong Negative
7,-0.296,Weak Negative
8,0.6124,Strong Positive
9,-0.2382,Weak Negative
10,-0.3527,Weak Negative
11,0.3818,Weak Positive
12,-0.483,Weak Negative
13,-0.7834,Strong Negative
14,-0.2695,Weak Negative
15,0.775,Strong Positive
16,-0.4404,Weak Negative
17,0.3182,Weak Positive
18,-0.508,Strong Negative
19,-0.2263,Weak Negative
20,-0.9125,Strong Negative
21,-0.7003,Strong Negative
22,0.8326,Strong Positive
23,-0.4404,Weak Negative
24,-0.5856,Strong Negative
25,-0.0516,Neutral
26,-0.8858,Strong Negative
27,0.5635,Strong Positive
28,-0.91,Strong Negative
29,-0.9197,Strong Negative
30,-0.9028,Strong Negative
31,-0.9551,Strong Negative
32,0.1406,Weak Positive
33,-0.0129,Neutral
34,-0.795,Strong Negative
35,0.1779,Weak Positive
36,0.3147,Weak Positive
37,0.6369,Strong Positive
38,-0.6956,Strong Negative
39,-0.9728,Strong Negative
40,-0.9628,Strong Negative
41,-0.9327,Strong Negative
42,-0.5423,Strong Negative
43,-0.3612,Weak Negative
44,0.4767,Weak Positive
45,0.0211,Neutral
46,0.5719,Strong Positive
47,0.8555,Strong Positive
48,0.9325,Strong Positive
49,0.4019,Weak Positive
50,0.5499,Strong Positive
51,0.5,Weak Positive
52,-0.8977,Strong Negative
53,0.9697,Strong Positive
54,-0.5267,Strong Negative
55,-0.4215,Weak Negative
56,-0.7184,Strong Negative
57,0.0,Neutral
58,-0.9881,Strong Negative
59,-0.8194,Strong Negative
60,-0.5888,Strong Negative
61,-0.2023,Weak Negative
62,0.7876,Strong Positive
63,0.649,Strong Positive
64,-0.9005,Strong Negative
65,-0.0258,Neutral
66,-0.9359,Strong Negative
67,-0.7988,Strong Negative
