Paragraph Number,Compound Score,Classification
1,0.0,Neutral
2,-0.5423,Strong Negative
3,0.0129,Neutral
4,-0.7494,Strong Negative
5,0.8519,Strong Positive
6,0.3269,Weak Positive
7,-0.7906,Strong Negative
8,-0.5994,Strong Negative
9,0.5789,Strong Positive
10,-0.5859,Strong Negative
11,-0.9137,Strong Negative
12,-0.3182,Weak Negative
13,-0.0516,Neutral
14,0.7684,Strong Positive
15,0.6908,Strong Positive
16,-0.5023,Strong Negative
17,0.3818,Weak Positive
18,0.9729,Strong Positive
19,-0.8034,Strong Negative
20,0.8885,Strong Positive
21,0.9308,Strong Positive
22,0.7906,Strong Positive
23,0.8462,Strong Positive
24,0.0,Neutral
25,-0.8361,Strong Negative
26,-0.1317,Weak Negative
27,-0.4404,Weak Negative
28,0.25,Weak Positive
29,0.0,Neutral
30,0.0,Neutral
31,0.0258,Neutral
32,-0.8196,Strong Negative
33,-0.2415,Weak Negative
