Paragraph Number,Compound Score,Classification
1,0.0,Neutral
2,-0.296,Weak Negative
3,0.9746,Strong Positive
4,0.5023,Strong Positive
5,0.4472,Weak Positive
6,0.2716,Weak Positive
7,0.4497,Weak Positive
8,-0.2263,Weak Negative
9,0.5187,Strong Positive
10,-0.4588,Weak Negative
11,0.7757,Strong Positive
12,-0.3818,Weak Negative
13,0.0,Neutral
14,0.1001,Weak Positive
15,0.8239,Strong Positive
16,-0.4939,Weak Negative
17,-0.284,Weak Negative
18,0.659,Strong Positive
