Paragraph Number,Compound Score,Classification
1,0.4019,Weak Positive
2,0.4215,Weak Positive
3,0.8476,Strong Positive
4,-0.6966,Strong Negative
5,0.9793,Strong Positive
6,0.9161,Strong Positive
7,-0.7696,Strong Negative
8,0.4019,Weak Positive
9,-0.4767,Weak Negative
10,0.9609,Strong Positive
11,-0.6369,Strong Negative
12,0.2695,Weak Positive
13,0.3022,Weak Positive
14,0.8594,Strong Positive
15,-0.8197,Strong Negative
16,-0.5106,Strong Negative
17,0.8431,Strong Positive
18,0.7705,Strong Positive
19,0.9109,Strong Positive
20,0.9054,Strong Positive
21,0.3612,Weak Positive
22,-0.7514,Strong Negative
23,0.8606,Strong Positive
24,-0.829,Strong Negative
25,-0.128,Weak Negative
26,0.991,Strong Positive
27,-0.5106,Strong Negative
28,-0.6265,Strong Negative
29,-0.4983,Weak Negative
30,0.3818,Weak Positive
31,-0.3322,Weak Negative
32,0.8481,Strong Positive
33,-0.1999,Weak Negative
34,0.6826,Strong Positive
35,0.7845,Strong Positive
36,0.3612,Weak Positive
37,-0.5994,Strong Negative
38,-0.4215,Weak Negative
39,-0.4404,Weak Negative
40,-0.9861,Strong Negative
41,-0.8201,Strong Negative
42,-0.1779,Weak Negative
43,-0.296,Weak Negative
44,0.9024,Strong Positive
45,-0.6461,Strong Negative
46,-0.9468,Strong Negative
47,-0.8225,Strong Negative
