Paragraph Number,Compound Score,Classification
1,-0.2732,Weak Negative
2,0.1027,Weak Positive
3,-0.8271,Strong Negative
4,0.7339,Strong Positive
5,0.0,Neutral
6,-0.9349,Strong Negative
7,0.0,Neutral
8,0.5106,Strong Positive
9,-0.7206,Strong Negative
10,-0.8807,Strong Negative
11,-0.7964,Strong Negative
12,-0.9224,Strong Negative
13,-0.4939,Weak Negative
14,-0.9559,Strong Negative
15,0.0,Neutral
16,-0.9635,Strong Negative
17,0.0,Neutral
18,0.4939,Weak Positive
19,0.2714,Weak Positive
20,-0.4215,Weak Negative
21,-0.7611,Strong Negative
22,-0.6597,Strong Negative
23,-0.8628,Strong Negative
24,-0.8591,Strong Negative
25,-0.5472,Strong Negative
