Paragraph Number,Compound Score,Classification
1,-0.1779,Weak Negative
2,0.4939,Weak Positive
3,0.3182,Weak Positive
4,-0.128,Weak Negative
5,0.4329,Weak Positive
6,0.4019,Weak Positive
7,0.6222,Strong Positive
8,-0.2784,Weak Negative
9,-0.5215,Strong Negative
10,0.8847,Strong Positive
11,0.9394,Strong Positive
12,0.9517,Strong Positive
13,0.7319,Strong Positive
14,-0.9256,Strong Negative
15,0.816,Strong Positive
16,-0.7569,Strong Negative
17,0.0,Neutral
18,0.8053,Strong Positive
19,-0.1531,Weak Negative
20,-0.9054,Strong Negative
21,0.7684,Strong Positive
22,0.7332,Strong Positive
23,0.8381,Strong Positive
24,0.5007,Strong Positive
25,-0.9426,Strong Negative
26,-0.4767,Weak Negative
27,0.2263,Weak Positive
28,0.4881,Weak Positive
29,-0.4019,Weak Negative
30,-0.851,Strong Negative
31,0.7569,Strong Positive
32,0.8264,Strong Positive
33,0.9032,Strong Positive
34,-0.319,Weak Negative
35,-0.86,Strong Negative
36,-0.1531,Weak Negative
37,-0.9072,Strong Negative
38,-0.984,Strong Negative
39,0.8979,Strong Positive
40,0.3612,Weak Positive
41,0.296,Weak Positive
42,0.0258,Neutral
43,0.9717,Strong Positive
44,-0.0772,Neutral
45,-0.8885,Strong Negative
