Paragraph Number,Compound Score,Classification
1,0.0,Neutral
2,0.0,Neutral
3,-0.2516,Weak Negative
4,0.4939,Weak Positive
5,0.6597,Strong Positive
6,0.6625,Strong Positive
7,0.744,Strong Positive
8,0.9227,Strong Positive
9,0.8713,Strong Positive
10,0.6199,Strong Positive
11,-0.5267,Strong Negative
12,-0.4964,Weak Negative
13,0.802,Strong Positive
14,-0.7789,Strong Negative
15,-0.092,Neutral
16,-0.706,Strong Negative
17,0.9393,Strong Positive
18,0.3818,Weak Positive
19,0.3094,Weak Positive
20,-0.3182,Weak Negative
21,-0.25,Weak Negative
22,0.7845,Strong Positive
23,0.9929,Strong Positive
24,0.9417,Strong Positive
25,0.8053,Strong Positive
26,0.7227,Strong Positive
27,0.3612,Weak Positive
28,0.9607,Strong Positive
29,-0.7096,Strong Negative
30,-0.981,Strong Negative
31,-0.8555,Strong Negative
32,-0.8268,Strong Negative
33,0.2457,Weak Positive
34,0.4871,Weak Positive
35,-0.2406,Weak Negative
36,-0.617,Strong Negative
37,-0.7778,Strong Negative
38,-0.8639,Strong Negative
39,-0.9722,Strong Negative
40,0.0,Neutral
41,-0.9689,Strong Negative
42,-0.9861,Strong Negative
43,-0.2982,Weak Negative
44,-0.9912,Strong Negative
45,0.984,Strong Positive
46,0.4661,Weak Positive
47,0.128,Weak Positive
48,-0.8788,Strong Negative
49,0.1779,Weak Positive
