Paragraph Number,Compound Score,Classification
1,0.7506,Strong Positive
2,-0.34,Weak Negative
3,0.0,Neutral
4,0.5778,Strong Positive
5,0.9144,Strong Positive
6,0.4215,Weak Positive
7,0.0,Neutral
8,-0.6124,Strong Negative
9,-0.8296,Strong Negative
10,-0.5423,Strong Negative
