Paragraph Number,Compound Score,Classification
1,0.0,Neutral
2,0.7579,Strong Positive
3,0.25,Weak Positive
4,0.8442,Strong Positive
5,0.296,Weak Positive
6,0.9578,Strong Positive
7,0.7506,Strong Positive
8,0.6486,Strong Positive
9,0.5346,Strong Positive
10,0.4404,Weak Positive
11,0.8738,Strong Positive
12,0.9814,Strong Positive
13,-0.9731,Strong Negative
14,0.3612,Weak Positive
15,0.5859,Strong Positive
16,0.9456,Strong Positive
17,0.916,Strong Positive
18,0.128,Weak Positive
19,0.0,Neutral
20,0.9636,Strong Positive
21,0.4588,Weak Positive
22,0.8774,Strong Positive
23,0.8519,Strong Positive
24,0.1657,Weak Positive
25,0.0,Neutral
26,0.9169,Strong Positive
27,0.1406,Weak Positive
28,-0.6743,Strong Negative
29,-0.3597,Weak Negative
30,-0.9274,Strong Negative
31,-0.8382,Strong Negative
32,0.9126,Strong Positive
33,0.7731,Strong Positive
34,0.7351,Strong Positive
35,0.8074,Strong Positive
36,-0.4588,Weak Negative
37,-0.5927,Strong Negative
38,0.9651,Strong Positive
