Paragraph Number,Compound Score,Classification
1,0.0,Neutral
2,0.4939,Weak Positive
3,-0.9482,Strong Negative
4,0.8316,Strong Positive
5,-0.7675,Strong Negative
6,-0.8229,Strong Negative
7,0.296,Weak Positive
8,-0.8485,Strong Negative
9,0.5423,Strong Positive
10,-0.5719,Strong Negative
11,-0.6322,Strong Negative
12,-0.6757,Strong Negative
13,0.6124,Strong Positive
14,0.4939,Weak Positive
15,0.9235,Strong Positive
16,-0.7984,Strong Negative
17,-0.0781,Neutral
18,0.128,Weak Positive
