Paragraph Number,Compound Score,Classification
1,0.5106,Strong Positive
2,0.7814,Strong Positive
3,0.9201,Strong Positive
4,0.7351,Strong Positive
5,-0.4432,Weak Negative
6,0.5575,Strong Positive
7,0.3182,Weak Positive
8,0.9474,Strong Positive
9,-0.7227,Strong Negative
10,0.7964,Strong Positive
11,0.8519,Strong Positive
12,0.7236,Strong Positive
13,0.9231,Strong Positive
14,0.7543,Strong Positive
15,0.1406,Weak Positive
16,-0.4993,Weak Negative
17,-0.885,Strong Negative
18,-0.872,Strong Negative
19,0.2924,Weak Positive
20,-0.8674,Strong Negative
21,0.6945,Strong Positive
22,-0.6199,Strong Negative
23,0.703,Strong Positive
24,0.0,Neutral
