Paragraph Number,Compound Score,Classification
1,0.2589,Weak Positive
2,0.8519,Strong Positive
3,0.0516,Neutral
4,0.9239,Strong Positive
5,0.2124,Weak Positive
6,0.8481,Strong Positive
7,0.6124,Strong Positive
8,0.6419,Strong Positive
9,0.9313,Strong Positive
10,0.3275,Weak Positive
11,0.0433,Neutral
12,-0.6476,Strong Negative
13,-0.7701,Strong Negative
14,0.5661,Strong Positive
15,0.7992,Strong Positive
16,0.6369,Strong Positive
17,0.6486,Strong Positive
18,0.6597,Strong Positive
19,0.7783,Strong Positive
20,0.7351,Strong Positive
21,-0.7003,Strong Negative
22,0.765,Strong Positive
23,0.7609,Strong Positive
24,0.6478,Strong Positive
25,-0.775,Strong Negative
26,0.6486,Strong Positive
27,0.7322,Strong Positive
28,0.5574,Strong Positive
29,0.1027,Weak Positive
30,0.4497,Weak Positive
31,-0.5859,Strong Negative
32,0.2748,Weak Positive
33,0.9711,Strong Positive
34,0.2724,Weak Positive
35,0.8446,Strong Positive
36,-0.3919,Weak Negative
37,0.7418,Strong Positive
38,0.9604,Strong Positive
39,0.9107,Strong Positive
40,0.9813,Strong Positive
41,0.9772,Strong Positive
42,-0.4754,Weak Negative
