Paragraph Number,Compound Score,Classification
1,0.0,Neutral
2,0.8126,Strong Positive
3,-0.5574,Strong Negative
4,-0.9184,Strong Negative
5,-0.994,Strong Negative
6,0.7816,Strong Positive
7,-0.7184,Strong Negative
8,0.4554,Weak Positive
9,-0.9109,Strong Negative
10,-0.458,Weak Negative
11,0.0,Neutral
12,0.25,Weak Positive
13,-0.3291,Weak Negative
14,0.9566,Strong Positive
15,0.5719,Strong Positive
16,-0.3071,Weak Negative
17,0.9028,Strong Positive
18,-0.2617,Weak Negative
19,0.1926,Weak Positive
20,0.814,Strong Positive
21,-0.1027,Weak Negative
22,0.7783,Strong Positive
23,0.4005,Weak Positive
24,-0.7579,Strong Negative
25,0.4019,Weak Positive
26,0.128,Weak Positive
27,0.504,Strong Positive
28,0.9147,Strong Positive
29,0.2023,Weak Positive
30,0.9485,Strong Positive
31,-0.7759,Strong Negative
32,0.7845,Strong Positive
33,0.9709,Strong Positive
34,0.0,Neutral
35,-0.5803,Strong Negative
36,-0.2732,Weak Negative
37,-0.1007,Weak Negative
38,-0.93,Strong Negative
39,-0.9215,Strong Negative
40,-0.6901,Strong Negative
41,-0.7584,Strong Negative
42,-0.8356,Strong Negative
43,-0.7806,Strong Negative
44,-0.4497,Weak Negative
45,-0.7399,Strong Negative
46,0.5168,Strong Positive
47,0.5158,Strong Positive
48,0.9702,Strong Positive
49,-0.5609,Strong Negative
50,-0.5267,Strong Negative
51,-0.755,Strong Negative
52,-0.1027,Weak Negative
53,0.9795,Strong Positive
54,-0.5106,Strong Negative
55,-0.6124,Strong Negative
56,-0.5106,Strong Negative
57,-0.7783,Strong Negative
58,-0.4767,Weak Negative
59,-0.9102,Strong Negative
60,0.8608,Strong Positive
61,0.0,Neutral
62,0.5829,Strong Positive
63,-0.3744,Weak Negative
64,-0.5859,Strong Negative
65,-0.5106,Strong Negative
66,0.6705,Strong Positive
67,-0.5562,Strong Negative
68,-0.7713,Strong Negative
69,0.2936,Weak Positive
70,-0.6229,Strong Negative
71,-0.5267,Strong Negative
