Paragraph Number,Compound Score,Classification
1,0.0258,Neutral
2,-0.7783,Strong Negative
3,0.7003,Strong Positive
4,-0.875,Strong Negative
5,-0.8765,Strong Negative
6,0.6908,Strong Positive
7,0.2263,Weak Positive
8,-0.9829,Strong Negative
9,0.746,Strong Positive
10,0.0,Neutral
11,0.0,Neutral
12,0.3612,Weak Positive
13,-0.9167,Strong Negative
14,-0.9286,Strong Negative
15,-0.4906,Weak Negative
16,-0.9226,Strong Negative
17,0.0772,Neutral
18,0.8364,Strong Positive
19,-0.5283,Strong Negative
20,0.7319,Strong Positive
