Paragraph Number,Compound Score,Classification
1,0.0,Neutral
2,0.3612,Weak Positive
3,0.9423,Strong Positive
4,-0.8481,Strong Negative
5,-0.0,Neutral
6,-0.8858,Strong Negative
7,-0.5994,Strong Negative
8,-0.8455,Strong Negative
9,0.0,Neutral
10,-0.4168,Weak Negative
11,-0.5408,Strong Negative
12,-0.9056,Strong Negative
13,0.8126,Strong Positive
14,-0.1779,Weak Negative
15,-0.9669,Strong Negative
16,-0.7351,Strong Negative
17,-0.9264,Strong Negative
