Paragraph Number,Compound Score,Classification
1,0.0,Neutral
2,0.6369,Strong Positive
3,0.8554,Strong Positive
4,0.5719,Strong Positive
5,0.7382,Strong Positive
6,0.8846,Strong Positive
7,-0.6868,Strong Negative
8,0.1779,Weak Positive
9,0.7143,Strong Positive
10,0.2023,Weak Positive
11,0.1002,Weak Positive
12,-0.7003,Strong Negative
13,0.5719,Strong Positive
14,0.8555,Strong Positive
15,0.7269,Strong Positive
16,-0.4404,Weak Negative
17,0.7935,Strong Positive
18,0.3612,Weak Positive
19,-0.5423,Strong Negative
20,0.6586,Strong Positive
21,-0.9097,Strong Negative
22,-0.7579,Strong Negative
23,0.765,Strong Positive
24,0.3182,Weak Positive
25,-0.9858,Strong Negative
26,-0.8126,Strong Negative
27,-0.9846,Strong Negative
28,0.9366,Strong Positive
29,0.1279,Weak Positive
30,-0.3612,Weak Negative
31,-0.2732,Weak Negative
32,-0.4854,Weak Negative
33,-0.4588,Weak Negative
34,-0.9119,Strong Negative
35,-0.8921,Strong Negative
36,-0.3182,Weak Negative
37,-0.9378,Strong Negative
38,0.7351,Strong Positive
39,-0.5252,Strong Negative
40,0.5499,Strong Positive
41,-0.8625,Strong Negative
42,0.979,Strong Positive
43,0.6908,Strong Positive
