Paragraph Number,Compound Score,Classification
1,-0.8617,Strong Negative
2,0.0,Neutral
3,0.3612,Weak Positive
4,-0.2406,Weak Negative
5,-0.5346,Strong Negative
6,-0.7845,Strong Negative
7,-0.2967,Weak Negative
8,-0.4767,Weak Negative
9,-0.9092,Strong Negative
