Paragraph Number,Compound Score,Classification
1,0.0,Neutral
2,0.3008,Weak Positive
3,-0.6705,Strong Negative
4,0.7672,Strong Positive
5,0.9117,Strong Positive
6,0.9954,Strong Positive
7,-0.5106,Strong Negative
8,0.947,Strong Positive
9,0.7919,Strong Positive
