Paragraph Number,Compound Score,Classification
1,-0.7729,Strong Negative
2,-0.4767,Weak Negative
3,0.0,Neutral
4,-0.8316,Strong Negative
5,0.2144,Weak Positive
6,0.5994,Strong Positive
7,0.128,Weak Positive
8,-0.9565,Strong Negative
9,-0.802,Strong Negative
10,0.2023,Weak Positive
11,0.128,Weak Positive
12,0.9455,Strong Positive
13,-0.8979,Strong Negative
14,0.0516,Neutral
15,0.3612,Weak Positive
16,-0.5859,Strong Negative
17,-0.872,Strong Negative
18,0.5106,Strong Positive
19,-0.6428,Strong Negative
20,-0.8462,Strong Negative
21,-0.9349,Strong Negative
22,-0.4319,Weak Negative
23,-0.3158,Weak Negative
24,0.8074,Strong Positive
25,-0.4404,Weak Negative
